,created_at,text,reply_count,retweet_count,favorite_count,topic
93,Fri Jan 01 00:54:47 +0000 2021,"Watch. Appreciate. Learn. Take Action. Join Al on a journey of seeing 2020 through climate change &amp; learn what good COVID has done to help change the trajectory of climate action.

2020: The Year Of Climate Extremes | NBC Nightly News https://t.co/TVaY8oHfMV",0,0,0,
94,Fri Jan 01 00:54:46 +0000 2021,Hiya eco-friendlies! The well known carbon emitting company Dunkin Donuts uses about TWO MILLION cups per year on beverages😨! You'll never guess that  climate change is a real thing!  Stay updated on our carbon tweets by following!,0,0,0,
95,Fri Jan 01 00:53:38 +0000 2021,"Was Ironic how we got a David Attenborough speech on climate change after letting off 10,000 fireworks into the atmosphere 🤷‍♂️",0,0,0,
96,Fri Jan 01 00:53:28 +0000 2021,"Good news: The Real Meaning of WW1984 is #climatechange (scam). Makes you really want to see it now, eh? https://t.co/LWs4ImTqFo",2,0,1,
97,Fri Jan 01 00:53:19 +0000 2021,"#Why 2021 will be turning point for tackling climate change is now trending on https://t.co/AnouRPUEbN
https://t.co/AnouRPUEbN",0,0,0,
98,Fri Jan 01 00:53:02 +0000 2021,"Inside LibHQ:

PMScum: ""How do we deal with the urgent issues of Climate Change, #Covid19, Unemployment, Deadly Bushfires, Increasing Poverty, Corruption, China?""

Baldrick: ""Change ONE word in the National Anthem, Sire""

PMScum: ""BRILLIANT!!!""

#auspol @LiberalAus",1,9,14,
99,Fri Jan 01 00:52:51 +0000 2021,bro.. global warming.. https://t.co/GAtPToIQxq,0,1,1,
100,Fri Jan 01 00:52:14 +0000 2021,"Essay by @KateAronoff on the pattern of white men researching climate science a tiny bit, misinterpreting it, and telling a large audience that we're all doomed and anyone demanding govt. stop climate change is anti-science and unreasonable: sad bois!
 https://t.co/9fatoLEi4D",1,0,3,
101,Fri Jan 01 00:52:03 +0000 2021,Apparently my 16 year old son says penguins are not in danger because of global warming its because they use them for Guinness 1🤣🤣🤣,1,0,0,
102,Fri Jan 01 00:51:13 +0000 2021,My heart skipped a beat when I saw Sir #DavidAttenborough trending- but thankfully its because he has shared a message on climate change. We need to heed his words of wisdom 🙏🏽💚,0,0,2,
103,Fri Jan 01 00:50:34 +0000 2021,Joe Biden should do everything at once https://t.co/2meYM3C4H9 via @voxdotcom,0,0,0,
104,Fri Jan 01 00:50:22 +0000 2021,"this just told me 2 things:
1. we must continue to fight climate change
2. I will sob if something ever remotely bad even happens to David Attenborough https://t.co/kW13OuvWjJ",0,0,6,
105,Fri Jan 01 00:49:50 +0000 2021,"Denying reality is perfectly on brand for the GOP. See also, climate change. https://t.co/KPhNg79gVa",1,0,1,
106,Fri Jan 01 00:49:46 +0000 2021,Happy New Year everyone. My aims for 2021 are to exercise more (yeah I know I say that every year) and get vaccinated as soon as possible. Let's hope we beat this virus this year. And start taking climate change really seriously.,0,0,0,
107,Fri Jan 01 00:49:35 +0000 2021,"Biden transition: How he could act fast and outrun Republican opposition to his presidency - Vox
⁦@JoeBiden⁩ ⁦@KamalaHarris⁩ @ ⁦@RonaldKlain⁩ 
Please read this. Do not trust Republicans, they don’t care about us, they want you to fail.  https://t.co/WO0kEI3jFn",0,0,0,
108,Fri Jan 01 00:49:25 +0000 2021,Why Climate Change Denial Still Exists In The U.S. https://t.co/MQoQ25zNJy via @YouTube,0,0,0,
109,Fri Jan 01 00:49:14 +0000 2021,"I just made a tax-deductible gift to @NRDC! For a short time, donations are being matched to help protect our environment and fight against climate change in 2021 -- pitch in now. https://t.co/cHMk9AlBWp",0,1,1,
110,Fri Jan 01 00:49:07 +0000 2021,Why 2021 will be turning point for tackling climate change https://t.co/5AFOuCtRT0,0,0,0,
111,Fri Jan 01 00:48:59 +0000 2021,"Celebrating a climate change activist by bursting firecrackers, 2021 is very funny for its first hour.",0,0,0,
112,Fri Jan 01 00:47:58 +0000 2021,Mass. to require all new cars sold to be electric by 2035 as part of climate-change measures https://t.co/5UyziJsbgZ via @BostonGlobe,0,0,2,
113,Fri Jan 01 00:47:55 +0000 2021,"Why 2021 will be turning point for tackling climate change

“In October 2020, the International Energy Agency, an intergovernmental organisation, concluded that the best solar power schemes now offer ""the cheapest source of electricity in history""

#auspol https://t.co/s5uUAyL9hD",0,12,10,
114,Fri Jan 01 00:47:01 +0000 2021,The irony of David Attenborough talking about climate change in the middle of a million pound fireworks show is lost on London https://t.co/o3HBD6QQyF,0,0,1,
115,Fri Jan 01 00:46:34 +0000 2021,NBC Falsely Claims Climate Change Is Threatening Superfund Sites https://t.co/cDcF6w40NS,0,0,0,
116,Fri Jan 01 00:45:35 +0000 2021,"Washington DC (World Storms 11)
https://t.co/S4peg5ifF2

Tributes to Climate Change
#art #climatechange #climatechangeisreal #climateaction #ClimateChangeart #extremeweather #climatechangeaction #dystopia https://t.co/uSq6YqjVf7",0,1,1,
117,Fri Jan 01 00:45:24 +0000 2021,"My Co-founders and I @climatebase  are excited to release the largest global climate community to the public! 

Currently at 11,633 members 🤯https://t.co/LSMuBJd5Ra

Our mission is to help mobilize humanity to solve the climate crisis! 🌎 https://t.co/JUGyO9wq3N",1,1,14,
118,Fri Jan 01 00:45:13 +0000 2021,Sir David Attenborough Says 2021 Is “Crucial Moment” In Climate Crisis During New Year Message https://t.co/f31qo96hOu,4,22,55,
119,Fri Jan 01 00:45:11 +0000 2021,"San Francisco (World Storms 10)
https://t.co/g42cyJg9Fw

Tributes to Climate Change
#art #climatechange #climatechangeisreal #climateaction #ClimateChangeart #extremeweather #climatechangeaction #dystopia https://t.co/Lxl8xcZnoo",0,1,0,
120,Fri Jan 01 00:45:00 +0000 2021,study: meat would cost 146% more if we factored climate change into the price // https://t.co/wh1cQJd3Tl,0,0,0,
121,Fri Jan 01 00:44:52 +0000 2021,"Seattle (World Storms 9)
https://t.co/7sCqvU824L

Tributes to Climate Change
#art #climatechange #climatechangeisreal #climateaction #ClimateChangeart #extremeweather #climatechangeaction #dystopia https://t.co/XQnwtPXUsH",0,2,2,
122,Fri Jan 01 00:44:49 +0000 2021,MBIE plans green building reform to address climate change - https://t.co/ICGUd12S4m https://t.co/NaM8WCgaZA,0,0,0,
123,Fri Jan 01 00:44:40 +0000 2021,"THIS IS THE GUY WHO WANTS TO DETERMINE THE TEMP OF THE PLANET, THE NUMBER OF PPL ON IT, 
CONTROL THEIR FERTILITY, HEALTH STATUS &amp;THE RIGHT TO MOBILITY OF EVERY PERSON ON THE PLANET!
Is this what a complete narcissistic sociopathic parasitic madman, is? YES
https://t.co/uGwJM64OG7",0,0,0,
124,Fri Jan 01 00:44:38 +0000 2021,"Climate Change: Often-Loved Sometimes Aggresive, and Now on Amazon's Radar.",0,0,0,
125,Fri Jan 01 00:44:19 +0000 2021,"Can’t wait for COVID, racism, global warming, and our economic depression to end at midnight tonight! ☺️",0,0,6,
126,Fri Jan 01 00:44:00 +0000 2021,"Also:
-Establish a living wage
-Fight global warming
-Stand up to Russia
-Create a path to citizenship https://t.co/GovlEogWYj",0,0,2,
127,Fri Jan 01 00:42:15 +0000 2021,Am I the only one thinking David Attenborough giving a lecture on climate change after setting off 10 tons of TNT into the air was a bit weird. 😂,0,0,4,
128,Fri Jan 01 00:41:25 +0000 2021,"the way they just dedicated some little laser show shit to nhs/key-workers, blm and climate change but didn't do SHIT to actually help this whole year😐😐",2,0,3,
129,Fri Jan 01 00:41:11 +0000 2021,Why 2021 will be turning point for tackling climate change https://t.co/u68s8NWpRm,0,0,0,
130,Fri Jan 01 00:40:43 +0000 2021,"Here is the school ID
@KamalaHarris @PreetBharara 
@mindykaling 
He is gentle and affable unlike Greta.
His solution to global warming is very simple and easy to implement.
Thanks https://t.co/bRiI3v8cEC",0,0,0,
131,Fri Jan 01 00:40:40 +0000 2021,"Time for MSM to start the New year &amp; get back into the manic hysteria phase &amp; bombard us that the Earth is coming to a cataclysmic CO2 climate end. 

ABC doing well putting climate change destruction propaganda interspersed amongst news items! https://t.co/DexqzxtWrc",0,0,1,
132,Fri Jan 01 00:40:37 +0000 2021,"#vegatables Organic meat as bad for the environment as regular meat
 https://t.co/gjhNfTXGMM",0,0,1,
133,Fri Jan 01 00:39:43 +0000 2021,join us today World Stands Still On Climate Change!. https://t.co/8BnwvlzXR0,0,0,0,
134,Fri Jan 01 00:39:34 +0000 2021,Wait til he hears about climate change. https://t.co/ojXc7TDZ3B,0,0,0,
135,Fri Jan 01 00:39:22 +0000 2021,Why 2021 will be turning point for tackling climate change https://t.co/XSdU47oHGd,0,0,0,
136,Fri Jan 01 00:38:39 +0000 2021,Why 2021 will be turning point for tackling climate change https://t.co/earNTKNbhu,0,0,0,
137,Fri Jan 01 00:37:29 +0000 2021,Looks like Samuel L. Jackson hates ineffective climate change conversations. #deathto2020  #Netflix @SamuelLJackson https://t.co/bbdTL7Hc8g,0,0,0,
138,Fri Jan 01 00:37:22 +0000 2021,Why 2021 will be turning point for tackling climate change https://t.co/L5g3Xt8Qba,1,12,21,
139,Fri Jan 01 00:37:16 +0000 2021,"Now that's out of the way, how about that covid pandemic, Brexit and the sword of damocles that is climate change? 2021 is going to be WACKY!! 🤪",0,0,0,
